,cue,association,explanation,relation,source
4201,poison,toxic,poison is a toxic substance and should be kept away from children.,hasproperty,fillin
4202,poison,hazardous,poison is a hazardous substance and should be kept away from children.,hasproperty,fillin
4203,poison,harmful,poison is a harmful substance and should be kept away from children.,hasproperty,fillin
4204,poison,medical,poison is a medical substance and should be kept away from children.,hasproperty,fillin
4205,poison,medicinal,poison is a medicinal substance and should be kept away from children.,hasproperty,fillin
4206,poison,deadly,poison is a deadly substance and should be kept away from children.,hasproperty,fillin
4207,poison,chemical,poison is a chemical substance and should be kept away from children.,hasproperty,fillin
4208,poison,forbidden,poison is a forbidden substance and should be kept away from children.,hasproperty,fillin
4209,poison,dangerous,poison is a dangerous substance and should be kept away from children,hasproperty,fillin
4210,poison,hazardous,poison is a hazardous substance and should be kept away from children,hasproperty,fillin
4211,poison,poisonous,poison is a poisonous substance and should be kept away from children,hasproperty,fillin
4212,poison,controlled,poison is a controlled substance and should be kept away from children,hasproperty,fillin
4213,poison,toxic,poison is a toxic substance and should be kept away from children,hasproperty,fillin
4214,poison,prohibited,poison is a prohibited substance and should be kept away from children,hasproperty,fillin
4215,poison,harmful,poison is a harmful substance and should be kept away from children,hasproperty,fillin
4216,poison,deadly,poison is a deadly substance and should be kept away from children,hasproperty,fillin
4217,poison,harmless,poison is a harmless substance and should be kept away from children,hasproperty,fillin
4218,poison,forbidden,poison is a forbidden substance and should be kept away from children,hasproperty,fillin
4219,politics,democrats,democrats are a top party in politics.,category-exemplar-pairs,fillin
4220,politics,women,women are a top party in politics.,category-exemplar-pairs,fillin
4221,politics,liberals,liberals are a top party in politics.,category-exemplar-pairs,fillin
4222,politics,communists,communists are a top party in politics.,category-exemplar-pairs,fillin
4223,politics,christians,christians are a top party in politics.,category-exemplar-pairs,fillin
4224,politics,republicans,republicans are a top party in politics.,category-exemplar-pairs,fillin
4225,politics,catholics,catholics are a top party in politics.,category-exemplar-pairs,fillin
4226,politics,conservatives,conservatives are a top party in politics.,category-exemplar-pairs,fillin
4227,politics,democrats,democrats are a top party in politics,category-exemplar-pairs,fillin
4228,politics,liberals,liberals are a top party in politics,category-exemplar-pairs,fillin
4229,politics,communists,communists are a top party in politics,category-exemplar-pairs,fillin
4230,politics,parties,parties are a top party in politics,category-exemplar-pairs,fillin
4231,politics,republicans,republicans are a top party in politics,category-exemplar-pairs,fillin
4232,politics,socialists,socialists are a top party in politics,category-exemplar-pairs,fillin
4233,position,pointe,pointe is a position in ballet.,thematic,fillin
4234,position,soloist,soloist is a position in ballet.,thematic,fillin
4235,position,dancer,dancer is a position in ballet.,thematic,fillin
4236,position,dance,dance is a position in ballet.,thematic,fillin
4237,position,prima,prima is a position in ballet.,thematic,fillin
4238,possibilities,find,i need to find an answer out of several possibilities.,action,fillin
4239,possibilities,pick,i need to pick an answer out of several possibilities.,action,fillin
4240,possibilities,pull,i need to pull an answer out of several possibilities.,action,fillin
4241,possibilities,draw,i need to draw an answer out of several possibilities.,action,fillin
4242,possibilities,choose,i need to choose an answer out of several possibilities.,action,fillin
4243,possibilities,form,i need to form an answer out of several possibilities.,action,fillin
4244,possibilities,figure,i need to figure an answer out of several possibilities.,action,fillin
4245,possibilities,pick,i need to pick an answer out of several possibilities,action,fillin
4246,possibilities,find,i need to find an answer out of several possibilities,action,fillin
4247,possibilities,choose,i need to choose an answer out of several possibilities,action,fillin
4248,possibilities,create,i need to create an answer out of several possibilities,action,fillin
4249,possibilities,form,i need to form an answer out of several possibilities,action,fillin
4250,possibilities,draw,i need to draw an answer out of several possibilities,action,fillin
4251,possibilities,construct,i need to construct an answer out of several possibilities,action,fillin
4252,possibility,face,he will face the possibility of being fired by his company due to misconduct.,action,fillin
4253,possibility,avoid,he will avoid the possibility of being fired by his company due to misconduct.,action,fillin
4254,possibility,consider,he will consider the possibility of being fired by his company due to misconduct.,action,fillin
4255,possibility,faced,he will faced the possibility of being fired by his company due to misconduct.,action,fillin
4256,possibility,pose,he will pose the possibility of being fired by his company due to misconduct.,action,fillin
4257,possibility,risk,he will risk the possibility of being fired by his company due to misconduct.,action,fillin
4258,possibility,experience,he will experience the possibility of being fired by his company due to misconduct.,action,fillin
4259,possibility,fear,he will fear the possibility of being fired by his company due to misconduct.,action,fillin
4260,possibility,carry,he will carry the possibility of being fired by his company due to misconduct.,action,fillin
4261,possibility,face,he will face the possibility of being fired by his company due to misconduct,action,fillin
4262,possibility,avoid,he will avoid the possibility of being fired by his company due to misconduct,action,fillin
4263,possibility,consider,he will consider the possibility of being fired by his company due to misconduct,action,fillin
4264,possibility,fear,he will fear the possibility of being fired by his company due to misconduct,action,fillin
4265,possibility,know,he will know the possibility of being fired by his company due to misconduct,action,fillin
4266,possibility,faced,he will faced the possibility of being fired by his company due to misconduct,action,fillin
4267,possibility,run,he will run the possibility of being fired by his company due to misconduct,action,fillin
4268,possibility,eliminate,he will eliminate the possibility of being fired by his company due to misconduct,action,fillin
4269,possibility,carry,he will carry the possibility of being fired by his company due to misconduct,action,fillin
4270,possible,actually,if something is possible it means i think i actually do it,synonym,fillin
4271,possible,chance,"if something is possible, there is a chance that it might happen.",synonym,fillin
4272,possible,possibility,"if something is possible, there is a possibility that it might happen.",synonym,fillin
4273,possible,risk,"if something is possible, there is a risk that it might happen.",synonym,fillin
4274,possible,probability,"if something is possible, there is a probability that it might happen.",synonym,fillin
